onset	duration	sample	trial_type	value
782	0.002	391001	Scanner	Scan Start
784	0.002	392001	Scanner	Scan Start
786	0.002	393001	Scanner	Scan Start
787.038	0.002	393520	Stimulus	S 10
788	0.002	394001	Scanner	Scan Start
788.526	0.002	394264	Response	Hit
788.728	0.002	394365	Stimulus	S140
790	0.002	395001	Scanner	Scan Start
792	0.002	396001	Scanner	Scan Start
794	0.002	397001	Scanner	Scan Start
796	0.002	398001	Scanner	Scan Start
797.058	0.002	398530	Stimulus	S 40
797.932	0.002	398967	Response	CR
798	0.002	399001	Scanner	Scan Start
798.134	0.002	399068	Stimulus	S110
800	0.002	400001	Scanner	Scan Start
802	0.002	401001	Scanner	Scan Start
804	0.002	402001	Scanner	Scan Start
806	0.002	403001	Scanner	Scan Start
807.076	0.002	403539	Stimulus	S 40
807.796	0.002	403899	Response	CR
807.998	0.002	404000	Stimulus	S140
808	0.002	404001	Scanner	Scan Start
810	0.002	405001	Scanner	Scan Start
812	0.002	406001	Scanner	Scan Start
814	0.002	407001	Scanner	Scan Start
816	0.002	408001	Scanner	Scan Start
817.096	0.002	408549	Stimulus	S 10
818	0.002	409001	Scanner	Scan Start
818.272	0.002	409137	Response	MISS
818.472	0.002	409237	Stimulus	S150
820	0.002	410001	Scanner	Scan Start
822	0.002	411001	Scanner	Scan Start
824	0.002	412001	Scanner	Scan Start
825.02	0.002	412511	Stimulus	S 20
826	0.002	413001	Scanner	Scan Start
826.144	0.002	413073	Response	CR
826.346	0.002	413174	Stimulus	S120
828	0.002	414001	Scanner	Scan Start
830	0.002	415001	Scanner	Scan Start
832	0.002	416001	Scanner	Scan Start
834	0.002	417001	Scanner	Scan Start
835.038	0.002	417520	Stimulus	S 40
835.984	0.002	417993	Response	CR
836	0.002	418001	Scanner	Scan Start
836.186	0.002	418094	Stimulus	S130
838	0.002	419001	Scanner	Scan Start
840	0.002	420001	Scanner	Scan Start
842	0.002	421001	Scanner	Scan Start
843.076	0.002	421539	Stimulus	S 30
843.764	0.002	421883	Response	CR
843.966	0.002	421984	Stimulus	S140
844	0.002	422001	Scanner	Scan Start
846	0.002	423001	Scanner	Scan Start
848	0.002	424001	Scanner	Scan Start
850	0.002	425001	Scanner	Scan Start
852	0.002	426001	Scanner	Scan Start
853.058	0.002	426530	Stimulus	S 30
853.728	0.002	426865	Response	CR
853.93	0.002	426966	Stimulus	S120
854	0.002	427001	Scanner	Scan Start
856	0.002	428001	Scanner	Scan Start
858	0.002	429001	Scanner	Scan Start
860	0.002	430001	Scanner	Scan Start
861.02	0.002	430511	Stimulus	S 20
862	0.002	431001	Scanner	Scan Start
862.616	0.002	431309	Response	CR
862.816	0.002	431409	Stimulus	S110
864	0.002	432001	Scanner	Scan Start
866	0.002	433001	Scanner	Scan Start
868	0.002	434001	Scanner	Scan Start
870	0.002	435001	Scanner	Scan Start
871.058	0.002	435530	Stimulus	S 20
872	0.002	436001	Scanner	Scan Start
872.392	0.002	436197	Response	FA
872.594	0.002	436298	Stimulus	S170
874	0.002	437001	Scanner	Scan Start
876	0.002	438001	Scanner	Scan Start
878	0.002	439001	Scanner	Scan Start
879.058	0.002	439530	Stimulus	S 10
880	0.002	440001	Scanner	Scan Start
880.866	0.002	440434	Response	MISS
881.066	0.002	440534	Stimulus	S160
882	0.002	441001	Scanner	Scan Start
884	0.002	442001	Scanner	Scan Start
886	0.002	443001	Scanner	Scan Start
888	0.002	444001	Scanner	Scan Start
889.076	0.002	444539	Stimulus	S 30
889.926	0.002	444964	Response	CR
890	0.002	445001	Scanner	Scan Start
890.128	0.002	445065	Stimulus	S130
892	0.002	446001	Scanner	Scan Start
894	0.002	447001	Scanner	Scan Start
896	0.002	448001	Scanner	Scan Start
897.038	0.002	448520	Stimulus	S 20
898	0.002	449001	Scanner	Scan Start
898.242	0.002	449122	Response	CR
898.444	0.002	449223	Stimulus	S110
900	0.002	450001	Scanner	Scan Start
902	0.002	451001	Scanner	Scan Start
904	0.002	452001	Scanner	Scan Start
906	0.002	453001	Scanner	Scan Start
907.056	0.002	453529	Stimulus	S 10
908	0.002	454001	Scanner	Scan Start
908.692	0.002	454347	Response	Hit
